CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
31860,"Mankato, MN (Metropolitan Statistical Area)",5561722,5737140,5848193,5751905,6223577,6830555
31900,"Mansfield, OH (Metropolitan Statistical Area)",4544336,4701707,4795359,4679636,5114941,5493751
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",20721197,21688589,22816189,23039904,25484204,27685464
32780,"Medford, OR (Metropolitan Statistical Area)",9087979,9428799,9788348,10053199,11289595,12023901
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",75341736,77803073,80382401,81066049,89602344,96182860
32900,"Merced, CA (Metropolitan Statistical Area)",9136656,9225402,9481489,9577666,10539064,11560438
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",346955899,367322597,382826954,377067647,433623411,483754676
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",4105788,4378771,4305086,4175273,4733773,5286067
33220,"Midland, MI (Metropolitan Statistical Area)",5482023,5624003,5501750,5874076,6417567,7046843
33260,"Midland, TX (Metropolitan Statistical Area)",21889250,30450843,32195032,22864349,38282294,55015425
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",99281237,102817770,106711912,104656086,112462208,120562995
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",257849094,271637576,280824650,276269394,299388542,323972835
33540,"Missoula, MT (Metropolitan Statistical Area)",5530699,5722891,6028066,6168694,7112467,7710069
33660,"Mobile, AL (Metropolitan Statistical Area)",20576160,21622037,22112912,22248854,24871951,27360640
33700,"Modesto, CA (Metropolitan Statistical Area)",22191928,23175414,24126002,23976896,26491489,28673725
33740,"Monroe, LA (Metropolitan Statistical Area)",8330804,8619544,8502452,8423330,8845752,9650099
33780,"Monroe, MI (Metropolitan Statistical Area)",5999722,6039946,6207038,5898802,6540743,7118880
33860,"Montgomery, AL (Metropolitan Statistical Area)",18161538,18563972,19067878,19029409,20294931,22079644
34060,"Morgantown, WV (Metropolitan Statistical Area)",7846985,8103495,7981871,8038099,8946309,9656788
34100,"Morristown, TN (Metropolitan Statistical Area)",5112106,5164156,5407544,5562636,6194570,6730247
